α₁ f₁ α₂ variance ν μ A ϕ T₀
1.183418315901461071e-01 2.409775818468641237e-03 2.850062043145567880e+00 5.183831608204265973e-02 1.124867498382159381e+00 9.332593916680425039e-01 1.498505115104320773e-01 4.751475055281755289e+00 6.124928222125261073e+02
4.128842339394854788e-01 2.718432726278216614e-03 2.786792304409160703e+00 4.452772679357474422e-02 9.633069261196888222e-01 1.312144031254601551e+00 1.724314311799327315e-01 2.322982942385922289e+00 2.717955077892526106e+02
1.318475727288642041e+00 1.920353250960183484e-03 2.609020683613452185e+00 3.136645818148720011e-02 1.055068718640983283e+00 1.642087489461084626e+00 1.761751601527949962e-01 3.875335915813719057e-01 3.958831135569237745e+02
1.453788543544033196e+00 1.479445028194569835e-02 3.235302599284717306e+00 2.209874626335085399e-02 1.464755008933634528e+00 4.803599249927460457e-01 4.355610077074381081e-01 3.763196884851624624e+00 7.005852226089535861e+02
1.484243608818134996e+00 1.192633684694062966e-02 3.261846570923973232e+00 2.816757883806111917e-02 1.106399844133747923e+00 1.133451317602556241e+00 1.493964184031438547e-01 4.779663009384270467e+00 5.799018721048282714e+02
1.345669001095228801e+00 1.277158529064975449e-02 3.189725860059873241e+00 2.627887962617131076e-02 1.234734930100069628e+00 1.085209565681591659e+00 6.012705763654151853e-02 2.976507984579635835e+00 7.198483496917996263e+02
5.616627665907398814e-01 4.222921677228307969e-04 2.443483004723145058e+00 3.290109980128920475e-02 1.046212479545422847e+00 1.446026299840653007e+00 2.968632928346018329e-01 2.920790037635065062e+00 5.275117483031106076e+02
3.211464385036365554e-01 5.506111025882593976e-04 2.635874259156034238e+00 5.523691482139021086e-02 8.634187595063289589e-01 1.073242471046230051e+00 6.366607969136313105e-01 3.518736766896503276e+00 6.211186953039517675e+02
8.314318129670430491e-01 5.215800594574839487e-03 2.720098219520376670e+00 1.694053885575299082e-02 9.907801308771984061e-01 1.247475639046738527e+00 1.133962845727083946e-01 3.589347841047204390e+00 7.055721129429905432e+02
1.189434224138280705e+00 1.488906847766176614e-02 3.198429785702368910e+00 1.503872952865703549e-02 1.322036036477235887e+00 9.036558655017241648e-01 1.272835903716240669e-01 2.628980884456181055e+00 1.603344752954337480e+02
9.183902738220914852e-01 8.288193310164910371e-03 3.246769254998575605e+00 3.246759954952701394e-02 1.083171130947203631e+00 1.043459101820575885e+00 1.288491628892722285e-01 1.669758628812824774e+00 2.195921570549015769e+02
9.654313678969921320e-01 5.633741917091520182e-03 3.105447583816200119e+00 4.823464724742924231e-02 1.098173304561159247e+00 7.198011715033559854e-01 2.887653253403388298e-01 1.763622152542647870e+00 4.505978765784020084e+02
4.762931465793945884e-01 2.391961762635559478e-03 2.637901289030692098e+00 2.956506811625298978e-02 1.093432091269499029e+00 1.377809222316889848e+00 2.997643656950736424e-01 3.247514642196885681e+00 2.987739600794634498e+02
4.364026174052424434e-01 3.437444497448719372e-03 2.875953710607820568e+00 3.225593647956653126e-02 1.242068649120161794e+00 8.498360972294857207e-01 2.071097668410132597e-01 4.322025955472598824e+00 2.738169265484038988e+02
1.182629603898771142e+00 2.178636874730333767e-02 3.725130856428140014e+00 1.807708722173585053e-02 1.168578777991178264e+00 1.121100383034121739e+00 3.413561183554190970e-02 2.687370628711869713e+00 3.012756068380252259e+02
9.998644997679102531e-01 8.637640131701781673e-03 2.983566838523866949e+00 1.462503762061291568e-02 1.290887451914028983e+00 1.781347650230477919e+00 1.854158783862298321e-01 3.146310200423720893e+00 2.845614665184784826e+02
1.395867170608363406e+00 9.994597838992159630e-03 2.768022078073036241e+00 2.222054518791457406e-02 1.148347278648733649e+00 7.125677478884954175e-01 2.559550356734203169e-01 2.818221430491066215e+00 6.351021165792756165e+02
5.411540844956930219e-02 2.174777853694804652e-03 2.794244257765155393e+00 5.680365086982772788e-02 1.154688713340412454e+00 1.749832131775183264e+00 6.713744474839444809e-01 3.134795550270753406e+00 5.099231627692506663e+02
6.516218180433784868e-01 9.311409321057126723e-03 3.155115065139853403e+00 1.909792979361821588e-02 1.250038584059629088e+00 1.397759041054192242e+00 2.933857329912665790e-01 2.365099578312035433e+00 5.609664796466270218e+02
1.366316194838770315e+00 8.460676167938939105e-03 3.311299891184489308e+00 4.313416193593840736e-02 1.282472624331814748e+00 1.320791259425351694e+00 7.271957078693203069e-02 5.141925948966249216e+00 6.791139912134109409e+02
9.910089446174211725e-01 1.066226782867856632e-02 3.046964640045501937e+00 1.499817266964022060e-02 1.177561670305329988e+00 1.032731047961024107e+00 6.902615790373105298e-02 1.971270120275895099e+00 2.055348924375294928e+02
1.334538467805334694e+00 4.440666192507721800e-03 3.222864045320488646e+00 7.291290285107632219e-02 1.203554375831069612e+00 8.596274972647813817e-01 2.507680375364703118e-01 1.560787249213394068e+00 4.908136359250495957e+02
1.352742366581014766e+00 2.063235064660585288e-02 3.405605512449015215e+00 2.029015064234347340e-02 1.026539412299646958e+00 7.074488614178893187e-01 3.441361492917363041e-01 3.504147485974209886e+00 7.258782954343366782e+02
1.370375030175644548e+00 2.675583963588788750e-02 3.734603160816377887e+00 1.256627184688571645e-02 1.138293680451944123e+00 1.459895841061395805e+00 9.747170651873734992e-02 2.472337850534731540e+00 2.648621095448933715e+02
5.133016191801744732e-01 4.294663890933138675e-03 2.601011480471861148e+00 1.688329835039235893e-02 1.066180237596720204e+00 1.124743728643129881e+00 2.305141971903783005e-01 2.444787241049111604e+00 6.206914695138898423e+02
8.283159530459716091e-01 3.419507884546291263e-03 2.658679300809936308e+00 2.206354893652784713e-02 1.169502929897582311e+00 1.601167019513306977e+00 2.579458872950262660e-01 4.294179369145176395e+00 7.186708468721201370e+02
1.273526020610044718e+00 4.943909009225615735e-03 2.841553510917287362e+00 3.116588836072039376e-02 1.083506067122185001e+00 1.453246465632901829e+00 9.187203173988665872e-02 1.155339129979987334e+00 4.294037345529026766e+02
1.169010442512025794e+00 7.364139017591449579e-03 2.963833986583590985e+00 2.651573203644776514e-02 1.018002769468645763e+00 9.186982242015180322e-01 2.196357938085709005e-01 2.785487112224106276e+00 2.868156772007109225e+02
1.474490946101907340e+00 1.784241907485706324e-02 3.325264320586902578e+00 2.000027889820736593e-02 1.155735127169426946e+00 1.429368414338478610e+00 1.197853158702431864e-01 3.006711149224056356e+00 2.784261386477294877e+02
6.170783204828094171e-01 6.746870410847146532e-03 2.461640890747627708e+00 1.030184010630207612e-02 9.391212817294728454e-01 1.130612531627312789e+00 3.301615626848016238e-01 3.626044443844913978e+00 6.689085572550363850e+02
1.293956069446872359e+00 6.879865567440197026e-03 3.005028747512427323e+00 3.020126932600195047e-02 1.212041511485201006e+00 8.931236976670915428e-01 1.890416338507985017e-01 3.089430112559491182e+00 7.074282356880761427e+02
1.377894857088256320e+00 1.602871900124666280e-02 3.039925673669771733e+00 1.230346705533066735e-02 1.086319799338467673e+00 1.182523697179443944e+00 2.473477108484011255e-01 4.757949177030581289e+00 7.265402855087496619e+02
1.478023491470033424e+00 3.314751284862622882e-02 3.960753272019188476e+00 1.429371813310176612e-02 1.169844687187330701e+00 1.374097198331517111e+00 2.471859443025054559e-01 2.592135321163536510e+00 2.604889303925512536e+02
1.183520814333962168e+00 9.769755568047142069e-03 3.124934066237949004e+00 2.406779647554112972e-02 1.288506692263960751e+00 2.190747194426752031e-01 1.244885707098593447e-01 3.779925428754109085e+00 5.989118345790991498e+02
