weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -1.795980864144347834e+03 1.233828164198510491e-01 7.640001627981263255e-02 2.517956398317855449e-02 5.371150925992664860e-01 4.231990775026075458e-01 5.092317181676377924e-01 8.929655306433312845e-01 4.519670018589472260e-02 7.720248838606093011e-01
0.000000000000000000e+00 -1.726294212888214133e+03 1.819167272112209854e-02 4.579869137570640181e-01 6.341874802854753357e-01 1.407976712828938881e-01 7.990347330270973769e-01 3.031731552320108269e-01 6.738279852605624232e-01 1.946415207770147981e-01 9.691787769896298421e-01
0.000000000000000000e+00 -1.676371863305474562e+03 5.006199025652612322e-01 5.851586541422471033e-02 5.657066300795654534e-02 2.533829228409366641e-01 9.515724799048367322e-01 1.025897874549515087e-01 6.702736294459475941e-01 7.784025549366933028e-01 9.925692613648995355e-02
0.000000000000000000e+00 -1.664423484094496189e+03 2.466731231404525326e-01 4.507312101371186985e-01 5.690812386814569912e-02 6.926580990858303144e-01 9.412695873486637277e-01 3.087528611521146438e-01 9.210899533813371454e-01 6.219920772184571733e-01 9.520593835730609689e-01
0.000000000000000000e+00 -1.491224432824003088e+03 4.149942151691381476e-01 5.597060761738825718e-02 7.496880279315729645e-01 4.665396974788801332e-01 9.515966260773500718e-02 8.091643614340406909e-01 9.158335612204538956e-01 8.543192109213165741e-01 2.990011212445663480e-01
0.000000000000000000e+00 -1.481961539387426001e+03 7.664708931089481148e-01 7.142898380829155736e-01 6.288393955432007854e-01 2.219726793443583812e-01 9.742902516671543278e-01 3.716933150586728685e-01 6.351936825934392239e-01 1.046059788586105599e-01 6.846636700858221847e-02
0.000000000000000000e+00 -1.480576098390114566e+03 8.666774650748051423e-01 5.391723851633888343e-01 1.183841847008698656e-01 7.504461095465875253e-02 5.807554526613235568e-01 9.694836371569169886e-01 7.019481351994135698e-01 1.567941128917708093e-01 1.876162636208018597e-01
0.000000000000000000e+00 -1.468808947928944235e+03 7.543058176138500714e-01 7.528666791427561789e-01 2.519242190556836292e-01 5.123336209099935701e-01 5.684549331226758095e-01 1.946042510579976126e-01 9.533720859566396921e-01 3.490846154998917816e-01 3.113558643007108273e-01
0.000000000000000000e+00 -1.458783084008708556e+03 7.234874042564083396e-01 7.382555222773738990e-01 3.320955242948852026e-01 9.395929502313671300e-02 1.433652653326644710e-02 6.695533347858755313e-01 8.799043028973884129e-01 4.371131405019249572e-01 6.291899959755445915e-01
0.000000000000000000e+00 -1.350644496249347867e+03 7.439916891633978624e-01 9.079999508180036649e-02 6.497931839134670762e-01 3.842765813745003811e-01 8.479619782485903201e-03 2.582222033632924907e-01 8.608718165574331671e-01 7.949221363189644673e-01 5.394405365216123904e-01
0.000000000000000000e+00 -1.344090562799655345e+03 3.757076419403330148e-01 8.092244495501004220e-01 5.616026362882211576e-01 5.773598300659376070e-01 2.704306741903015343e-01 9.826833567953874304e-01 9.841881607696956191e-02 2.218495095620454105e-02 5.734154092063028507e-01
0.000000000000000000e+00 -1.332300780746102646e+03 4.845870385550399284e-01 9.099792689349954777e-01 7.251868467052671186e-01 1.428807790191182203e-01 8.323209766502491780e-01 5.208905231953941950e-02 5.611858678494983099e-01 4.759277839161176749e-01 9.080558240709944995e-01
0.000000000000000000e+00 -1.306873666430317144e+03 3.034184926914695879e-01 6.219030231192426150e-01 2.330010417955968860e-01 3.768553288895305498e-01 2.061152890069002375e-01 4.502120954234378747e-02 9.213628335829437965e-02 8.846560525252646912e-01 4.594904867858757846e-01
0.000000000000000000e+00 -1.291523277053630636e+03 3.651116510235519197e-01 5.847153087982960296e-01 2.654486055773889186e-01 2.194368783477664842e-01 1.164161074065377388e-01 8.829665252030286515e-01 7.184710592422508535e-01 3.635440471800117646e-01 7.268897476459372786e-01
0.000000000000000000e+00 -1.291450409579401366e+03 6.648144396179211935e-02 9.121791854034366764e-01 9.155932133576794030e-03 4.147349362878384182e-01 8.504844388549079870e-01 5.517786294397183378e-01 8.532437826599713615e-01 5.815178965039468073e-01 5.434478367068562576e-01
