weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -2.772190161328679096e+03 1.103757752687035909e+00 3.326480268636171291e-04 1.520537105645086040e+00 1.275268517977107795e-02 5.184679011713724250e-01 2.865355874627635302e+00 2.248685083947826957e+00 2.358281785415226484e+00 8.998257648336596048e+01
0.000000000000000000e+00 -2.472665877344650653e+03 1.196947260702230675e+00 2.936030171740129993e-02 3.056779820412627302e+00 1.311488631009498883e-02 6.221843849177056684e-01 4.756765980168935037e+00 3.037656470637901673e+00 4.562476518666191083e+00 1.287310263767099059e+02
0.000000000000000000e+00 -2.268884460757670695e+03 1.373672692274502394e+00 7.004508483299369277e-04 3.949946382460758798e+00 4.417242075679705254e-02 7.398517724282315244e-01 -2.580148929046678141e+00 7.239344610263265700e+00 2.658437346526910439e+00 3.140745015053851716e+02
0.000000000000000000e+00 -2.249812403132007603e+03 1.360128145702779179e-01 6.101298397325849443e+00 1.369080623576508282e+00 5.480069683525209956e-02 1.372771656710048527e+00 3.520410292526605200e+00 7.710030130706154727e-01 3.858984691911435227e+00 5.732524182984402614e+02
0.000000000000000000e+00 -2.216103331757557953e+03 1.345065587450139377e-01 1.219191706851897733e-01 1.015654687623458674e+00 4.676147920548905795e-02 8.543865559695313916e-01 -5.812768545047621860e-01 1.535634778860804628e-01 4.031730848153383562e+00 4.592703665341741157e+02
0.000000000000000000e+00 -2.184928079976332810e+03 2.945195812138166058e-01 2.377379763747027308e+00 1.407891806807565205e+00 5.336361697951472888e-02 4.380707447268698540e-01 3.130513189997719437e+00 1.282416327551007429e+00 2.569694860562126149e+00 1.974578263534646112e+02
0.000000000000000000e+00 -2.173250823233176106e+03 4.439742232644640074e-01 1.398954709440046740e-01 2.340701293927291982e+00 5.213136642723135289e-03 1.186037848147659002e+00 2.834757089911645878e+00 3.508650297794014827e-01 4.029577039870454236e+00 6.567841810975319277e+02
0.000000000000000000e+00 -2.154480258518386563e+03 5.533513707386481517e-01 5.986696969257906398e-01 6.256255090533602292e-01 2.416484628008223542e-02 8.916868552207011245e-01 2.609453730424810658e+00 1.942431897745912739e+00 2.807027885840881254e+00 1.433987193291312678e+02
0.000000000000000000e+00 -2.106390107999085558e+03 7.841735908732447857e-01 6.176497116270848187e-01 2.001599703418657228e+00 1.537365092078751307e-02 4.342875500988605530e-01 3.367273586112817796e-02 2.023043067493007996e+00 6.478452675443669984e-01 1.582721056427350277e+02
0.000000000000000000e+00 -2.080568833589211408e+03 1.453198162843325036e+00 4.780742712893927049e+00 3.634639187544259187e+00 1.077849091621189449e-02 9.469182752572684603e-01 -3.519461244972450498e-01 1.270671115252940853e+00 2.979708375022681821e+00 5.494848486501856399e+01
