α₁ f₁ α₂ variance ν μ c
1.080836899797306128e+00 8.656636629203596014e-03 2.670387873081740970e+00 7.871611821428226366e-03 1.172821500297754893e+00 2.851524336222713840e-01 7.687133651337534166e-05
7.101087435117613422e-01 2.375194696876161120e-03 2.852463496909270368e+00 3.367556486070492905e-02 1.068163317855079342e+00 8.583641771947808641e-02 2.633657473453898342e-04
5.857532543625842969e-01 7.712271707880211623e-03 3.168951555096223505e+00 1.456181200262216500e-02 1.250350367089122505e+00 3.896598298648993319e-01 6.415217304672188501e-06
5.560835015624331357e-01 2.958611007896718749e-03 2.818863623479383129e+00 2.197756453305621180e-02 1.072649400298116174e+00 3.312963773731986139e-01 6.804086513824999898e-04
1.172185732529102520e+00 3.552449213475723268e-03 2.841274709868776505e+00 2.353547509730823800e-02 1.010837898356694575e+00 1.496105226586622872e-01 7.896633097865546087e-04
9.792755241310800995e-01 7.127597870512840904e-03 2.690420398398626123e+00 8.939958741585153981e-03 1.050202640022213973e+00 2.394750877929479604e-01 1.589611930555786033e-06
1.568451710170402913e-01 3.493919821732118826e-03 2.805873045663554777e+00 1.833052405093448661e-02 1.136132716487787020e+00 1.327845309283663955e-01 1.704425660262726518e-04
4.863254846437753409e-01 3.134827080745731034e-03 2.878420748239032267e+00 3.089239288217294002e-02 1.137773090510984408e+00 2.128150096254690649e-01 1.574826998803222566e-04
8.410848229253393704e-01 4.900177417669511308e-03 2.838128717871715168e+00 1.727296297359075944e-02 1.077190625187266049e+00 3.219388354246164319e-01 2.017615890756673806e-06
1.154627372761100279e+00 5.029837095870130954e-04 2.811081130033262099e+00 5.657152406522521215e-02 1.096320144078231751e+00 -2.185107216937694830e+00 3.749097488775322735e-06
9.095162048786049613e-01 8.467313265711321618e-03 3.209978293301137597e+00 1.525915255163447747e-02 1.242237353765819785e+00 6.382407695715622276e-02 8.164780747461821558e-05
1.100351622184110090e+00 6.399537755747518666e-03 2.573299381245381490e+00 1.000774561736171749e-02 9.607334639900648732e-01 1.797035554650147915e-01 2.087534322029457130e-05
