α₁ f₁ α₂ variance ν μ c
8.048017606835855542e-01 2.017602213583433342e-03 2.537391100015168988e+00 1.951446806137194512e-01 7.782087834246927960e-01 4.305426220464045883e-01 9.485920098827969741e-05
7.447058053893851337e-01 1.974245226936531972e-03 2.570382608676105907e+00 1.643451514660856094e-01 1.018635828794017373e+00 1.113803739011820504e-04 1.380754569030068928e-04
9.481004313130878547e-01 1.313125364712370256e-02 3.646688965464140786e+00 7.596281043140080957e-02 1.119339087913396646e+00 7.977171644396471861e-02 3.436154948314310074e-05
1.074519059732143011e+00 8.176597528153181638e-03 3.014499503711760120e+00 1.018508658889070995e-01 1.103902411996648514e+00 2.087846498892744762e-01 4.138997851801447783e-06
1.155135634631885511e+00 1.062687024450128560e-02 3.283545492444405411e+00 1.582350369817499824e-01 9.331031501106821224e-01 4.177699695866604612e-01 2.239557408894623020e-05
9.614740848352167912e-01 1.883144037970574391e-02 3.851811798031414824e+00 6.541535651570797028e-02 1.087896216941360406e+00 3.727552814978910001e-01 6.950089846080157764e-04
1.231537458242608851e+00 6.899344836075977511e-03 2.805212238137682945e+00 1.800122863530799200e-01 9.773480325985064443e-01 -1.081432078536483377e-01 5.675734298278052202e-05
8.088848422867110921e-01 3.194560198111745259e-03 2.709108059700973126e+00 1.506519535649662456e-01 9.024166091730108086e-01 1.619704326287689788e-01 1.344151960263804697e-03
1.811283800793817012e-01 5.286904660821438624e-03 3.073899881455089300e+00 5.597715505076266557e-02 9.687405709118334096e-01 3.035414548386154432e-01 9.541940866899960348e-05
9.826135103161914852e-01 1.569761753812324440e-02 3.479911759485720957e+00 5.701976264903670100e-02 1.190544919499554544e+00 6.560638525897236062e-02 3.983533460591823672e-05
9.116273576580630200e-01 8.432792365939793811e-03 3.062035626646780528e+00 7.146182481782395457e-02 1.213893354978921257e+00 4.872847861230029665e-01 2.865287966897345523e-06
9.440896780688246004e-01 1.473961773619639377e-02 3.651145740784424554e+00 6.476921194138832161e-02 1.138094889456481296e+00 2.553619238600644548e-01 1.567882257786576484e-05
1.100733610377137683e+00 1.224224436854021505e-02 3.488131040277152817e+00 1.419582309933158648e-01 9.065195643722436802e-01 1.035525573539136657e-02 6.342850583093156578e-04
1.129403577986028751e+00 9.823343523860715229e-03 3.471112101949686224e+00 1.760307623487236961e-01 1.102648010934623946e+00 -3.528341711417621873e-01 1.208877419485066457e-06
1.226866251422965570e+00 3.867221193810330745e-03 2.632657216270636980e+00 2.444608623118338653e-01 1.010538564507915904e+00 2.101546065782401995e-01 4.730496154393114012e-05
1.213294042627295788e+00 1.708806740974949667e-02 3.246857923525271694e+00 8.194905683417402775e-02 1.119273352906525743e+00 3.963837590969401803e-01 4.646716350103228724e-05
7.788768830233301355e-01 5.655764237184619792e-03 2.491608304608577740e+00 4.623055021468835263e-02 8.764934637889640889e-01 1.182521214061541537e-01 5.235338082237183180e-03
1.884411578490478856e-01 3.354272737648740423e-03 2.979359319035272957e+00 9.873847569118543444e-02 9.254918101511875328e-01 1.870939708645106558e-01 4.108364125496593596e-05
1.068292926935664244e+00 2.126524836158421791e-02 3.476968505161102119e+00 4.798035358277109863e-02 1.082628836829760965e+00 2.882139408630441380e-01 1.129282463951560445e-03
1.718047799402842857e-01 2.542620871812184286e-03 2.572559716050757395e+00 6.814882338013143748e-02 9.984303184094280859e-01 1.081533694965921555e-01 1.056730036406001533e-04
2.769380676164510113e-01 3.155221808518143215e-03 2.857810566587698275e+00 9.385133550018857906e-02 9.923795616723596336e-01 4.880543787286509838e-01 3.060245244485944142e-03
1.211405000540631827e+00 1.111328715435679244e-02 3.182222316246605676e+00 1.077486186443344374e-01 1.251252275725089014e+00 3.301958319967226996e-01 4.912719986258047767e-05
2.998459395767152924e-01 7.236759950089830321e-03 3.550193360019713307e+00 7.144306934135603859e-02 1.010792171149411667e+00 1.243096758404720337e-01 5.801220287759790292e-06
6.566337451138987147e-01 4.995342620434093696e-03 3.046119355303922749e+00 1.218624221960545317e-01 1.131292843999890385e+00 2.820581371685893513e-01 1.798301191022286266e-05
5.039164543364407778e-02 2.716656583217541120e-03 2.627806814439958671e+00 5.481067653737988626e-02 1.149269946965299383e+00 4.512872635937298371e-02 2.317521525710377803e-04
8.591612993402737430e-01 1.489302342736858846e-02 3.466587736336727676e+00 3.972869205175021817e-02 1.029339042310303487e+00 1.950585897143331526e-01 1.726893013897144410e-04
9.116273576580630200e-01 8.432792365939793811e-03 3.062035626646780528e+00 7.146182481782395457e-02 1.213893354978921257e+00 4.872847861230029665e-01 2.865287966897345523e-06
1.060658713252251806e+00 1.315773159573837593e-02 3.495092174171594124e+00 5.770271298994860548e-02 1.096033563038576464e+00 1.374290129384288794e-01 4.729909694693150813e-06
1.231333997261754520e+00 2.348118873695406381e-02 3.674588437396288043e+00 6.616610359389310525e-02 1.209810604251094768e+00 1.989625832338672573e-01 1.446290816365798379e-05
1.144525637347759472e+00 1.339776947978573059e-02 3.248131415853451109e+00 1.050288153201023311e-01 1.039350293877655540e+00 2.747418192829127470e-01 7.915150273333297864e-05
9.155083079672489133e-01 8.687416292041571370e-03 3.190899746241067092e+00 6.828007702480415331e-02 1.035161496213350185e+00 8.502252324479186996e-02 5.519246107091381774e-04
