# Simulated light curve
# model: OneBendPowerLaw
# input parameters: A,alpha_1,f_1,alpha_2
# [ 1.         -0.40021394  0.03214472 -2.74496085]
# Fvar:0.25369798523923454
# FoM:12.916329395924251
# seed: 278900
# seed_gaps: 225596
# Time	Value	Error
5.430000000000000000e+02 1.114158624102733919e+00 1.260451581070539881e-02
5.437500000000000000e+02 1.245042542881145353e+00 1.424914519710162447e-02
5.440000000000000000e+02 1.266683742295235282e+00 1.296538429273706022e-02
5.442500000000000000e+02 1.253829307531962423e+00 1.584015375525145430e-02
5.477500000000000000e+02 1.335263569825346330e+00 2.026425123958701738e-02
5.490000000000000000e+02 1.259337936524184576e+00 2.714176237417237694e-02
5.492500000000000000e+02 1.269906907682815111e+00 1.218296364367005280e-02
5.512500000000000000e+02 1.281314838357468844e+00 3.517640898086074608e-02
5.532500000000000000e+02 1.115471922245148573e+00 1.367804099513567767e-02
5.537500000000000000e+02 1.004646939603820011e+00 2.327126558694404476e-02
5.540000000000000000e+02 9.972830729361921165e-01 2.156581869215036876e-02
5.550000000000000000e+02 8.705046813837895581e-01 2.288870929072382363e-02
5.555000000000000000e+02 8.994935147661640151e-01 1.209931625907033868e-02
5.557500000000000000e+02 9.257310153663473873e-01 1.133692964785248079e-02
5.562500000000000000e+02 9.520390726158767247e-01 2.845638819575173686e-02
5.565000000000000000e+02 9.839133075399760786e-01 3.679154764058257393e-02
5.567500000000000000e+02 1.040769804322282832e+00 2.406190584380510367e-02
5.570000000000000000e+02 1.092152213242874703e+00 3.845276328151923939e-02
5.572500000000000000e+02 1.091190503221304064e+00 2.226659940909174115e-02
5.577500000000000000e+02 1.073363252609416785e+00 3.170471417993813573e-02
5.585000000000000000e+02 1.054136362786037617e+00 1.720187708954591319e-02
5.597500000000000000e+02 1.059259489429442258e+00 1.767835789952215339e-02
5.635000000000000000e+02 9.186594242883373562e-01 2.402839115085660462e-02
5.637500000000000000e+02 9.702228356547728527e-01 2.056073808900117650e-02
5.642500000000000000e+02 1.080723700536924348e+00 1.432346432654383640e-02
5.657500000000000000e+02 1.370408542108448646e+00 2.358796241334129226e-02
5.667500000000000000e+02 1.575369709871888846e+00 2.358152235697101584e-02
5.672500000000000000e+02 1.458161962693198754e+00 2.340191632735953708e-02
5.682500000000000000e+02 1.432766818777678752e+00 2.918407691434535614e-02
5.695000000000000000e+02 1.347003475598033795e+00 2.365879018379229634e-02
5.705000000000000000e+02 1.361424670922448232e+00 1.455582298482003753e-02
5.715000000000000000e+02 1.331338404119012386e+00 1.293408044908412984e-02
5.717500000000000000e+02 1.298785002973525060e+00 3.653163503502843135e-02
