weight logl α₁ f₁ α₂ f₂ α₃ variance ν μ
0.000000000000000000e+00 -7.527447246637912031e+02 1.649664283078495775e-01 7.069994340893467344e-01 3.198745385128108909e-01 9.288512400936831392e-01 9.525617173442250118e-01 9.881095417306439144e-01 8.345935606370677995e-01 1.407983350625610086e-01
0.000000000000000000e+00 -7.517337302713629015e+02 7.487338366067441964e-02 9.239339510723570958e-01 2.022606808706806092e-01 9.158891757184890459e-01 5.273858445752155344e-01 9.128487968739416036e-01 8.169407493373119777e-01 7.934644034952277325e-01
0.000000000000000000e+00 -7.410632829850923144e+02 5.511402129471298927e-02 4.293394389690687873e-01 4.715359180950505769e-01 5.212173242100888171e-01 8.715853856178312764e-01 3.209309175792492974e-01 5.311466162633327048e-01 9.463016423261794152e-01
0.000000000000000000e+00 -7.188435119449607100e+02 2.630050240691723662e-01 6.470007380926440232e-01 9.359589850272587164e-02 4.932295981008553154e-01 3.358904579738697382e-01 9.785462154640754973e-01 4.448101416347327586e-02 6.449764202200636287e-02
0.000000000000000000e+00 -7.166099366048462116e+02 1.030933344747597680e-02 7.117708292805241532e-01 1.165658598746670549e-01 9.637936473533181836e-02 2.349449965813429353e-01 9.596720256103391522e-01 6.372050128048153406e-01 2.569361337363000874e-01
0.000000000000000000e+00 -6.975601072674159013e+02 4.689353838676418862e-01 8.628279020727397386e-01 3.808604033472329231e-02 3.752605443481316083e-02 2.810858723973719275e-02 9.394684605203387218e-01 3.515364764056427838e-02 6.198822639383100297e-01
0.000000000000000000e+00 -6.693475712505165802e+02 8.739178248865142606e-02 9.709684741517344841e-01 9.703569797492582749e-01 6.841304211343652852e-01 3.386531309097524645e-01 9.129297476456359473e-01 9.495186018251389193e-01 5.725448171169248424e-01
0.000000000000000000e+00 -6.656478004346890884e+02 3.258904511916036473e-01 9.712837427113080180e-01 8.016171537537988279e-01 4.092050994495752825e-01 1.413967099219607393e-01 9.560547490618630517e-01 2.269234630785743612e-01 4.020056297912710797e-01
0.000000000000000000e+00 -6.501678881624218320e+02 1.285932495753426830e-01 9.231199792419908512e-01 8.949183195747190123e-01 5.478364832765334480e-01 6.988475767432501540e-01 5.385544392279162373e-01 3.441997023394786082e-01 7.263854990417135671e-01
0.000000000000000000e+00 -6.311324767478907916e+02 8.328933968617147077e-02 7.500448688821491627e-01 2.200864170319341007e-01 7.166159265485905205e-01 6.929802040786867678e-01 9.624546234857521698e-01 9.488372836532786847e-01 3.101707687661404700e-01
0.000000000000000000e+00 -6.184962133192342435e+02 3.433535164016284780e-01 7.816986191714873078e-01 9.474403900729254646e-01 1.084395150756505277e-01 4.672054472650385426e-01 9.321374175719865374e-02 7.612507862088684352e-01 7.060301078094926019e-01
0.000000000000000000e+00 -5.964362469558086559e+02 3.246587516967535114e-01 9.543755167185208332e-01 7.110658477885294371e-01 7.252587822285467833e-01 3.187490727808798274e-01 9.445923431743483700e-01 4.804954352790667960e-01 6.286233817487261177e-01
0.000000000000000000e+00 -5.950099696360493908e+02 2.587217345192341922e-01 4.996516438889757605e-01 2.905201659385481250e-01 9.786745497655277015e-01 5.240351168999790588e-01 9.880847300767385821e-01 1.250587964024907350e-02 5.322174262569511205e-01
0.000000000000000000e+00 -5.835778239357971415e+02 2.244078707457902722e-01 8.598950961475289034e-01 8.906400143809223291e-02 6.666193788084833205e-01 1.935298234299273057e-01 6.232998642705032122e-01 9.926309913681685693e-02 7.884289594787566857e-01
