α₁ f₁ α₂ f₂ α₃ variance ν μ
1.039680503250226762e+00 1.432921556462013165e-03 2.497231014765271429e+00 3.040150323029440216e-01 3.988594214674758387e+00 1.597946401703964278e-02 1.262822621674698498e+00 7.657583045386553433e-01
1.247481678487264878e+00 2.212358943193653161e-03 2.626523419473767884e+00 1.145742408971601317e-01 3.297248153544972027e+00 3.472184024485289872e-02 1.210419212623758289e+00 7.551733422440784493e-02
1.016271367820163141e+00 8.178353702260493865e-03 2.739778684973849465e+00 7.204443980397966518e-01 3.054186394146453765e+00 1.434676605155274162e-02 1.013153870030572001e+00 1.845781158012715639e-01
1.035496716752315249e+00 2.063613776083174020e-03 2.881637745563201847e+00 2.429431589672980341e+00 3.751500175864045161e+00 4.452792831263223394e-02 1.144165926612506157e+00 -6.678056937600301834e-02
1.198021430926196285e+00 1.093801492868633034e-02 2.992743512564426389e+00 1.103082903747425902e+00 3.327260590333056545e+00 1.546551911670402887e-02 1.086192206027334795e+00 1.962619783331286394e-01
9.052799010733698637e-01 2.340323941657930507e-03 1.306650746649003825e+00 1.202437568972929832e-02 3.137960825045691848e+00 1.144168519978624662e-02 1.125413124481100313e+00 4.299603266875828833e-01
1.056367431701358273e+00 1.079606535625290964e-02 3.050717814060985411e+00 7.937832641128562683e-01 3.915484496738816489e+00 1.135637813551973463e-02 1.035839581357966832e+00 5.761681287377811156e-01
9.663222338272552392e-01 3.325654909604447689e-03 2.628234966870812706e+00 2.051844253630914494e+00 2.833653849887072695e+00 1.920736207754264110e-02 1.203784112677233731e+00 3.716316474924048485e-01
1.034844292184731396e+00 6.375169180254563854e-03 2.758271879672420823e+00 3.323087284072511194e-01 3.970036113759990215e+00 1.309137537075339731e-02 1.000015330791194090e+00 8.449901615912511765e-01
1.227728441044677155e+00 6.351279606362535309e-03 1.990794734051318349e+00 2.073760370773706715e-02 3.128883504646465585e+00 1.108319887116302437e-02 1.370373862279962385e+00 6.310677325487594747e-01
1.181629034310260451e+00 1.506362457212060552e-03 2.091263488920711566e+00 5.600880679724228040e-02 3.703569130611745308e+00 9.780416097671561920e-03 9.948097107633125935e-01 3.501996069001190870e-01
9.836339973087924182e-01 2.530834310162912316e-03 2.047779741483896743e+00 4.796979003787101709e-02 3.777500824054821571e+00 9.390059656547574199e-03 1.163550949964315295e+00 2.850098044851858692e-01
2.342277732459771000e-01 2.825067212579697885e-03 2.902661236223764263e+00 2.742570624760013676e+00 3.750462239815893550e+00 3.270604860758524052e-02 1.109282213487689628e+00 1.478765421249068623e-01
5.651270926964914176e-01 3.738045517005116514e-04 2.629926125624266309e+00 7.658994336226525590e+00 3.219313849131774763e+00 3.339335135508780805e-02 1.013952805125328815e+00 7.847585173075328768e-01
4.469691215785401295e-01 3.177117079603505889e-04 2.360491870903487222e+00 1.750185646033576570e-01 3.940179184518575628e+00 2.219773931998715241e-02 1.237549306466843246e+00 -5.520180264912407653e-01
7.784066874233319666e-01 1.000843828205327628e-02 1.500934285133305846e+00 1.093770918519513385e-02 3.320998477868924326e+00 1.281724863011157907e-02 1.232259456252513763e+00 -1.074675975748429213e-02
1.124946422656342371e+00 8.698950670045207251e-04 2.685041864242394105e+00 4.340706993420711868e+00 3.075382549799591025e+00 5.529580939650133309e-02 1.001364101618906099e+00 5.451433005307091406e-01
8.595548053140542599e-01 2.191271617843321921e-03 2.252356018592167608e+00 3.804212130228115663e-02 3.144113210691598326e+00 1.512721437709759441e-02 1.126166562741674593e+00 -1.089376115183441907e-01
2.097266982952517567e-01 2.495801155892718188e-03 2.471110499675754912e+00 9.233440503329096161e-02 2.961827390029918572e+00 1.732571650693284435e-02 1.065405781834902976e+00 3.087796280242703362e-01
