weight logl α₁ f₁ α₂ f₂ α₃ variance ν μ
0.000000000000000000e+00 -4.572510940369776336e+02 2.695112926003792597e-01 3.800682584276238729e-01 3.131863067804731227e+00 5.687873767280451354e-01 3.507810029026602994e+00 2.713716209902428816e-02 4.871434728712216167e-01 1.266596120829591499e+00
0.000000000000000000e+00 -4.440181783906991200e+02 1.676071065093352741e-01 6.393485807096936924e+00 2.570132085499317931e+00 8.295691958645805997e+00 2.631568173911311259e+00 1.305551010221575048e-01 8.268478666827062673e-01 5.428053076671603971e-01
0.000000000000000000e+00 -4.409649377877279903e+02 7.037387426092024389e-01 8.118366112880734065e+00 1.503546390131814015e+00 8.394356514253640711e+00 3.284072464268205760e+00 3.462357916341342046e-01 1.197549490229538716e+00 1.736891519648300797e+00
0.000000000000000000e+00 -4.246429151061214498e+02 1.780718386764436334e-01 3.309297461448437172e+00 2.047380041026944486e+00 3.676322011450287253e+00 2.398802234154043589e+00 2.909340000925002539e-03 1.411373249458484969e+00 2.382083439232803856e-01
0.000000000000000000e+00 -4.155696779009143711e+02 1.672217389050509317e-01 8.344458293988116226e-02 2.698051648036477457e-01 7.724463803219022928e+00 2.974072275542247734e+00 4.591403401480535426e-03 1.941187348743603214e-01 -4.636916976957605740e-02
0.000000000000000000e+00 -4.136636812388110798e+02 6.814292085848704383e-01 2.689151869286718691e-02 9.218362330349355593e-01 1.045440725458228332e-01 9.734724949166136954e-01 2.419375983140825415e-01 1.473560255601640001e-01 7.477837650205105824e-01
0.000000000000000000e+00 -4.135766066192177277e+02 8.358777512964000733e-01 6.232084824977769388e-01 3.055430969975875932e+00 3.448211309892756926e+00 3.598673519273490662e+00 9.199386417052115572e-01 4.216340169786106373e-02 9.911777428774209975e-01
0.000000000000000000e+00 -4.095820806646870551e+02 3.262483893291158177e-01 2.145268425213988240e-03 1.232595665417322017e+00 5.177905318164180426e-02 2.335231686723302058e+00 6.568911747201529143e-03 3.828098887609970857e-01 3.278585506415082396e+00
0.000000000000000000e+00 -4.069804857255712705e+02 1.527704490307897622e-01 6.188840739472061259e+00 2.209424933326723739e+00 6.279324898212727213e+00 3.799122067983825790e+00 1.107281622357277479e-01 1.351258361161012500e+00 -3.159532709327839139e-01
0.000000000000000000e+00 -3.835959533835539332e+02 2.823915522116360322e-01 4.078302542266391661e+00 3.305030120984937092e+00 4.740384920994821449e+00 3.315618429672622103e+00 4.990822595090306513e-02 1.193647256642997201e+00 8.062885721979899945e-01
0.000000000000000000e+00 -3.774107969745467699e+02 3.185326686959624731e-01 4.805911200464103139e+00 1.027168084586603580e+00 6.358561003195566386e+00 2.169332032382920161e+00 1.610436054885517332e-01 5.397042756948583486e-01 3.559739920566153959e-01
