weight logl α₁ f₁ α₂ variance ν μ
0.000000000000000000e+00 -5.209529950667399589e+02 2.112285910182144510e-01 4.179219462188720202e-01 5.713714140437187172e-02 4.560531761860602273e-01 8.401949155977274097e-01 7.137230614635531323e-01
0.000000000000000000e+00 -5.022991816706839359e+02 3.299367242323836269e-02 5.852057033913156125e-01 2.606201561708318959e-01 8.427833293567221773e-01 2.963849541757392902e-01 2.201549927509744986e-01
0.000000000000000000e+00 -4.936794868405359011e+02 4.949081374093698971e-01 1.951827128273524448e-01 7.839789424573562204e-02 8.990895283694082529e-01 9.831272074370001057e-01 3.828264387231568033e-01
0.000000000000000000e+00 -4.825679814852781533e+02 4.118347969758963112e-01 7.946041085494239820e-01 4.451144762652170517e-01 9.490351729205165343e-01 4.736862331804378989e-01 5.990808943682086607e-01
0.000000000000000000e+00 -4.750607691684449492e+02 8.574481929646493583e-03 5.565623559523330544e-01 5.658215549284639767e-02 1.946950638353540652e-01 2.465031775046435669e-01 6.603117662637287832e-01
0.000000000000000000e+00 -4.680947473313605087e+02 1.641707994698076156e-01 4.822646845453602005e-01 8.521356871690894952e-01 1.498817219188569583e-01 8.673253579817785663e-01 7.730792814912113009e-02
0.000000000000000000e+00 -4.600597907049078685e+02 9.419467123920618468e-01 1.928645313719291599e-01 8.863720765837712623e-02 9.927286051986862203e-01 9.363361243298276015e-01 9.582920607384144418e-01
0.000000000000000000e+00 -4.491414361352639730e+02 1.442993945085211394e-01 3.904012602926543174e-02 8.861375349069944285e-02 6.296842806170070972e-01 4.273558877503247366e-03 5.352314158861380955e-01
0.000000000000000000e+00 -4.480270051717064916e+02 5.000702872637937668e-01 6.555140640990597678e-02 8.204909179724029222e-02 2.234507714376732235e-02 4.678981890712181624e-01 1.138780835526775892e-01
0.000000000000000000e+00 -4.415821490987888183e+02 3.303087637897322848e-01 2.665742355677508391e-01 9.223233305000400062e-02 7.553466640226127460e-01 7.647027611883684406e-01 7.301899014756576545e-01
0.000000000000000000e+00 -4.412076895964680716e+02 4.169150586157077676e-02 3.111420638342570211e-01 1.700322032368001279e-01 7.063047154647701387e-01 5.853226562906173047e-01 6.883405255752356178e-01
0.000000000000000000e+00 -4.194952681385846631e+02 7.184654113769101125e-01 8.214210427800309189e-01 2.483844344806788174e-01 9.539445430272217585e-01 7.135113649287949666e-01 5.878313755369726223e-01
0.000000000000000000e+00 -4.165866149800958169e+02 4.315759630435996863e-01 5.658540180098493577e-01 4.109005689941370720e-01 9.800143312671800722e-01 2.240486059217198234e-01 1.431471437072172614e-01
0.000000000000000000e+00 -4.100278281709431667e+02 4.208780615237195377e-02 3.215241931448932222e-01 1.957008354625188185e-01 6.804249738612186960e-01 9.020783876069053964e-01 1.733583350306456827e-01
0.000000000000000000e+00 -4.099096636584339421e+02 3.771239031969271238e-01 8.414741726321065540e-01 1.672061958385664404e-01 5.004855955384273081e-01 3.967361171502696848e-01 8.043577131722537965e-01
0.000000000000000000e+00 -4.056739066941448186e+02 5.563568239095384449e-02 5.675892242924951425e-02 2.282110575722047230e-01 8.907967863434357314e-01 5.349712362918762620e-01 9.085875975529206228e-01
0.000000000000000000e+00 -4.023719028918945355e+02 6.280499253201066168e-02 9.166198593759895541e-01 2.146043076986670073e-02 2.444951334982922164e-01 5.365307424385752366e-01 4.348816124027855556e-01
0.000000000000000000e+00 -3.828527349999587841e+02 3.512184204891944939e-01 4.375226064157946571e-01 4.452787267016100614e-02 5.915917626678730556e-01 5.752669328111079672e-01 5.524133890690391402e-01
0.000000000000000000e+00 -3.808771751339054958e+02 6.160873136515874204e-01 1.740941161650266800e-02 2.091761053631001621e-01 9.911913974766275448e-01 4.611852742494725321e-01 7.496067663271029913e-01
0.000000000000000000e+00 -3.807175384861656653e+02 2.106234100751208649e-01 9.500957149493559628e-01 2.564510317938314410e-01 4.065543524586840984e-01 3.606294676579425706e-01 2.754876844103035793e-01
0.000000000000000000e+00 -3.785759770001627658e+02 4.361845457078263877e-01 8.673658527862522227e-01 3.157024353418030893e-01 8.417431825634528186e-01 7.630802557732985214e-01 2.186456231147814178e-01
0.000000000000000000e+00 -3.771228544030379339e+02 1.723707762054754733e-01 8.142040571580929642e-01 3.284505742777800164e-01 5.204293371818738967e-01 5.488338393183871400e-01 6.615825315308656585e-01
0.000000000000000000e+00 -3.766226790416030212e+02 5.830452286155183295e-01 1.932647438287882213e-01 2.356900936160537530e-01 9.909336054995584453e-01 1.654678905457908078e-01 3.167847931847939114e-01
