weight logl α₁ f₁ α₂ variance ν μ
0.000000000000000000e+00 -4.680947473313605087e+02 2.052134993372595195e-01 4.346042049509894062e-02 3.438886501739488288e+00 1.148795992922192061e-02 1.765370468390413006e+00 -1.275613737616845711e+00
0.000000000000000000e+00 -4.600597907049078685e+02 1.177433390490077336e+00 2.078987055157041283e-03 1.427617813186809803e+00 1.577321851099787509e+00 2.224849105634288726e+00 2.245334984986433469e+00
0.000000000000000000e+00 -4.491414361352639730e+02 1.803742431356514242e-01 4.131479202647024345e-04 5.188456183811550604e-01 7.951012683762086197e-02 4.771326022325038385e-02 4.117924451877358893e-01
0.000000000000000000e+00 -4.480270051717064916e+02 6.250878590797421808e-01 5.458205810521788402e-04 9.019963351377291438e-01 2.911410981977244870e-03 7.889463632846620555e-01 -1.033128655693861031e+00
0.000000000000000000e+00 -4.415821490987888183e+02 4.128859547371653838e-01 4.509362089241150326e-03 7.437338520481941995e-01 1.323645013754593258e-01 1.387708199543284504e+00 9.977141394268164154e-01
0.000000000000000000e+00 -4.412076895964680716e+02 5.211438232696347095e-02 7.201671915462693266e-03 7.233820720267853943e-01 1.072473322696134296e-01 9.841077324108288282e-01 8.612840181212453317e-01
0.000000000000000000e+00 -4.194952681385846631e+02 8.980817642211376128e-01 1.532228853763403453e+00 1.668549971020375278e+00 5.390502735355093833e-01 1.251973121587006244e+00 5.608430291253433397e-01
0.000000000000000000e+00 -4.165866149800958169e+02 5.394699538044995801e-01 1.045750474720475443e-01 1.961403718807538166e+00 9.092440699871536802e-01 4.452571560657272443e-01 -8.770129453812499642e-01
0.000000000000000000e+00 -4.100278281709431667e+02 5.260975769046494221e-02 8.031498037579416771e-03 8.251173260070355786e-01 9.662739946318076034e-02 1.958052213920078000e+00 -7.371520643046775012e-01
0.000000000000000000e+00 -4.099096636584339421e+02 4.714048789961589048e-01 1.891498148548834024e+00 1.061407845833737262e+00 4.987284522516874374e-02 6.835206845793441177e-01 1.269940216891495499e+00
0.000000000000000000e+00 -4.056739066941448186e+02 6.954460298869230561e-02 4.976667627137186956e-04 9.665179858810226676e-01 2.838188685525373511e-01 8.963226505513353093e-01 1.799896370657448674e+00
0.000000000000000000e+00 -4.023719028918945355e+02 7.850624066501332710e-02 4.165049721706606256e+00 1.626631860016861109e-01 1.871337865469341680e-02 8.989378294360248489e-01 1.300974509045740857e-01
0.000000000000000000e+00 -3.828527349999587841e+02 4.390230256114930896e-01 2.716319014804820936e-02 5.975857549084396814e-01 6.908556608371739516e-02 9.659841931127763903e-01 4.601586122376367660e-01
0.000000000000000000e+00 -3.808771751339054958e+02 7.701091420644843311e-01 3.291746279799321099e-04 1.445725132475317753e+00 1.428650638504122883e+00 7.786791629852968244e-01 1.064531440778746063e+00
0.000000000000000000e+00 -3.807175384861656653e+02 2.632792625939011089e-01 5.920206918600431578e+00 1.221565151227101964e+00 3.563792644148141425e-02 6.323620242149909920e-01 -3.524483223977257218e-01
0.000000000000000000e+00 -3.785759770001627658e+02 5.452306821347829846e-01 2.482696567055117320e+00 1.635909769328971919e+00 2.052645119580504829e-01 1.383032171143235622e+00 -5.538825612211200067e-01
0.000000000000000000e+00 -3.771228544030379339e+02 2.154634702568443416e-01 1.420364410720463599e+00 1.458496666826220478e+00 5.352811738466291269e-02 9.197867075040895291e-01 7.782822216821964068e-01
0.000000000000000000e+00 -3.766226790416030212e+02 7.288065357693979118e-01 2.087745482128589881e-03 1.499794429590131761e+00 1.407251702531878923e+00 3.638204445744261384e-01 -2.189702538085963601e-01
