weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -1.963485021531588927e+03 2.783040547041745749e-02 3.349058692909008261e-01 2.785909119092321973e+00 5.184983547674644998e-03 1.754777508104385486e+00 4.892254962143417485e-01 1.635366086199566929e-04
0.000000000000000000e+00 -1.960674671281209612e+03 3.200613008965031980e-01 1.910736790084989867e+00 3.412070188749445787e+00 1.908833555568043364e-02 4.835754761661378853e-01 9.450336182276228847e-01 1.279102384170767578e-04
0.000000000000000000e+00 -1.881948204133153013e+03 4.421947439846201089e-01 4.174626075552104187e-01 4.776594781456339200e-01 2.413233863194023249e-02 6.238146536273840859e-01 -5.324378301712122674e-01 3.078466087086699585e-03
0.000000000000000000e+00 -1.865463193114815112e+03 4.004153229871538766e-01 2.077393896762959713e+00 1.953560319859264149e+00 5.932479160966977645e-03 8.744911939865155359e-01 5.966737117514000488e-01 8.656214588522710172e-06
0.000000000000000000e+00 -1.742155156561768763e+03 3.412650049851753686e-01 1.422848957324538040e-02 1.075993200715672504e+00 1.576064309683772660e-02 1.067826016253581756e+00 -1.188024799734108239e+00 7.508908321474494876e-05
0.000000000000000000e+00 -1.726524174700665526e+03 3.184299793227752806e-01 1.189707349939665093e+00 3.811774716483137260e-01 8.726550025343875194e-02 3.422776971436490845e-01 1.368602295457564288e+00 9.290149981459593448e-06
0.000000000000000000e+00 -1.716874610813004892e+03 5.128502549227184626e-02 2.994438437448646573e-01 1.895966611510055300e+00 4.540834181755777632e-02 6.621755957493704603e-01 2.285902646844805708e-01 6.059924662204242418e-01
0.000000000000000000e+00 -1.629570846950434998e+03 7.254821119610524449e-02 4.021789918052864343e-01 1.367551239518743911e+00 6.838036496962980777e-03 9.260750688748087267e-01 -8.095477660199612568e-02 3.449096348154295222e-01
0.000000000000000000e+00 -1.396026168956583888e+03 1.177394917180611733e+00 2.080901541489221102e-03 2.803445471504467879e+00 6.194112169990800831e-03 3.364547511604404351e-01 5.935882651664192711e-01 5.629415115251013707e-02
0.000000000000000000e+00 -1.392402468325933114e+03 2.543558396651113274e-01 3.363467120698833690e-01 3.660132594710314713e+00 7.845012810975816181e-03 3.678764867333454980e-01 6.261894509319085866e-01 5.542293161122018030e-02
0.000000000000000000e+00 -1.380900836175658696e+03 5.346055866686807434e-01 3.098415362450045543e-04 2.517544152833956161e+00 1.418943186459621295e-02 3.792378355139967017e-01 5.445268340328879297e-01 7.075362418518856000e-02
0.000000000000000000e+00 -1.375635547811715696e+03 8.726743320467980625e-02 9.234833598747847816e+00 2.541993761167305355e+00 3.722200935920964154e-02 1.184386256397305104e+00 8.441753831099407801e-01 1.560945547673505611e-04
0.000000000000000000e+00 -1.286445283837545730e+03 3.295733527800452922e-01 3.170388771937899808e-01 4.285566902346172324e-01 5.856972375923703844e-03 1.595034670050316850e+00 3.686350026016315118e-01 2.657010971001274341e-05
0.000000000000000000e+00 -1.273368218739975418e+03 4.715429489615237113e-01 4.065698983511328662e-04 5.727365648705913248e-01 5.419119219827923939e-02 7.006536084861774150e-01 1.186763130107377995e+00 5.481389697493133095e-02
0.000000000000000000e+00 -1.241629178384888291e+03 2.672912169551050487e-01 1.529948063598534747e+00 2.140819767347206248e+00 8.409898633224444087e-02 1.443526975915709443e+00 1.361129447053051500e+00 2.689154480782358068e-04
0.000000000000000000e+00 -1.236434357822484344e+03 1.521279367713318509e-01 9.696922713125100124e-01 1.802202019583496906e+00 2.389288699445703268e-02 4.652082529760308560e-01 -3.925087067270549568e-01 5.079795725789441191e-02
0.000000000000000000e+00 -1.210259426238525748e+03 1.236154239347021289e+00 2.218737264014606757e-03 3.346618485525018283e+00 1.112276600726589265e-01 9.700493294367584785e-02 -6.941270372017588342e-02 3.651906825951861668e-02
0.000000000000000000e+00 -1.193665938477656937e+03 4.097944324865164800e-01 3.041507027588758252e-04 2.589801266124732049e+00 1.888764156819183748e-02 3.779227054428862531e-01 1.496991143256838797e+00 6.802095337320232646e-05
0.000000000000000000e+00 -1.160596362283806002e+03 6.720700861542180937e-02 5.106619480454668196e-04 1.057113813256939761e+00 1.076610806490913702e-02 6.252964468811822440e-01 1.530476857384651890e+00 2.762780170901820709e-01
0.000000000000000000e+00 -1.157419510615750141e+03 2.607387113348971774e-02 2.587634631774256982e-02 1.961411352215327808e+00 2.369420481211453877e-02 4.814346802032001826e-01 -1.036610306594580866e+00 1.297438523689858339e-03
0.000000000000000000e+00 -1.152899954176720257e+03 3.396183539252018990e-01 3.487455477369652557e-02 2.920794531128798166e+00 5.816093337868892196e-03 6.019778748566266824e-01 1.210628711568335847e+00 4.714619271548264965e-04
0.000000000000000000e+00 -1.132476545924640050e+03 7.804003504111992062e-02 9.295561237862629261e-04 3.392985747082423398e+00 3.859265260095595413e-03 1.320846154280507001e+00 2.423387947386239916e-01 1.629036950331022027e-01
0.000000000000000000e+00 -1.128270790158558839e+03 7.799493375409791152e-02 7.023786108704448139e-02 3.764633970101721072e+00 1.119344470220539310e-02 9.600019288873486989e-01 -4.992976752949186414e-01 2.144450885830765513e-03
0.000000000000000000e+00 -1.119040222620500572e+03 2.733749573584776105e-01 2.721828331384342214e-01 1.442171899842475957e+00 8.023110940889265769e-03 4.036893451731051186e-01 -2.616679507418706585e-01 7.376820199950304136e-02
