weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -4.467228395010440636e+02 2.052985507876589066e-01 1.458054305955144292e-01 9.376350618095494749e-01 7.676272469396104858e-01 1.294104361846096785e-01 4.426921759687926228e-01 3.069961998576241635e-01
0.000000000000000000e+00 -4.395156172955886973e+02 5.359771240675559323e-02 8.491672229337345890e-01 6.849714472298598089e-01 2.177130455268542208e-01 6.311423155446372890e-01 3.480548170606233560e-01 2.636849395512381733e-01
0.000000000000000000e+00 -4.394628943052286445e+02 1.016592958312559913e-01 8.858883097733788459e-01 6.696674426018153214e-01 1.355233618730122824e-01 3.041805435914378686e-01 4.269998472682915436e-01 1.851523730976647464e-01
0.000000000000000000e+00 -4.210540406426608797e+02 4.052319840599227785e-02 7.955758607859727549e-01 3.814263235461288204e-01 6.898921145282971290e-01 7.682791925345765494e-01 7.737009248004800277e-02 9.570883591426707637e-01
0.000000000000000000e+00 -4.076169098576262400e+02 4.381172852420843755e-01 2.341701381486801514e-01 7.675115597975024073e-02 6.131052330620584412e-01 7.071118078044470456e-01 5.509730747633845294e-01 9.956283933176537371e-01
0.000000000000000000e+00 -3.992551532576328555e+02 2.926188904699329463e-01 9.263132462852367022e-01 1.078905354634548397e-01 8.719316237153148519e-01 9.983033429173101547e-01 8.789128504623983096e-01 8.029251590928816462e-01
0.000000000000000000e+00 -3.985037870811700031e+02 9.250628719881619499e-01 9.644719240641399516e-01 6.342300069214267255e-01 4.511909701160443653e-03 8.841914197033794443e-01 6.253308705722379068e-01 7.570413663579097507e-01
0.000000000000000000e+00 -3.896345359095294043e+02 2.656618088956035351e-01 9.717992577444923841e-01 7.338952464549960419e-01 9.626052363335834139e-01 7.615416814894769848e-01 9.488214214897533472e-01 7.147284765211305846e-01
0.000000000000000000e+00 -3.740016564598772106e+02 3.972092775249835839e-02 8.721135127201877779e-01 5.354923510425054767e-01 1.576584630691540978e-01 5.504204705702027134e-01 4.336131515378460755e-01 1.596899328998682144e-01
0.000000000000000000e+00 -3.640439295365729322e+02 5.083625804595304221e-02 9.368316649406408514e-01 5.421217141985166244e-01 9.029601060994548734e-01 3.671360904968757888e-01 8.552883102051239694e-01 1.799058289094035423e-02
0.000000000000000000e+00 -3.612919350152357083e+02 2.974929810465348767e-01 5.594647204035271271e-01 7.249446929625882330e-01 3.734391504831735542e-02 1.450340762494628510e-01 6.460228270629394531e-01 6.899863256642380094e-01
0.000000000000000000e+00 -3.603477945584463669e+02 6.120188010598378581e-01 6.507066721044334479e-01 3.304498864052085594e-01 9.996010776230401795e-01 4.580262382324714610e-01 8.359140481108866538e-01 6.541898665581766803e-01
0.000000000000000000e+00 -3.303597489219270074e+02 7.620593280897935973e-02 8.429018911125817359e-01 9.808214411107144537e-01 8.012263656308118431e-01 8.445762870514528231e-01 1.430478704277512447e-01 3.222762451977341236e-01
0.000000000000000000e+00 -3.282267034069291185e+02 4.260029868214055826e-01 9.188776209186482191e-01 4.063177050040773786e-01 3.615724898991183878e-01 4.195878193557385227e-01 7.652068112180329118e-01 6.049844878171173335e-01
0.000000000000000000e+00 -3.251076625424867643e+02 2.397047001749152972e-01 8.020173869991439330e-01 9.530401538825501451e-01 5.856258104117355590e-01 5.405501160179647657e-01 1.424893167040619524e-01 6.329917606629720250e-01
0.000000000000000000e+00 -3.191776923254567464e+02 5.550619280552466783e-01 9.806727422415639772e-02 5.415871527665477858e-01 3.108840411499739220e-01 5.938314081908557807e-02 6.073881881444761488e-01 4.191107721520702656e-01
0.000000000000000000e+00 -3.166022172894930691e+02 4.775151953056738785e-01 4.246808317646482145e-01 8.996097412740833299e-02 9.962185235717890830e-01 9.146421293158127908e-01 9.280284287892682782e-01 4.928086342795798824e-01
0.000000000000000000e+00 -3.160298321686082659e+02 1.054317594179249307e-01 7.978549400179563156e-01 6.915305382830209124e-01 9.282429507841665206e-01 2.459080188204143536e-02 8.720602162610888719e-01 3.535587667762616348e-01
0.000000000000000000e+00 -3.036934888588791637e+02 3.560612028951447572e-01 2.527137752633711321e-01 9.570645504019873462e-01 7.708595171909212729e-01 1.488613474445676932e-02 2.776309808812257307e-01 3.148393543970928743e-01
0.000000000000000000e+00 -3.016099958881185330e+02 9.682175095759499861e-01 2.260899016512761817e-01 1.513785986395510541e-01 7.286343566948161321e-02 1.200194130266096781e-01 1.949086561145318974e-02 9.404983347463380383e-01
